AGUA;ENFADADO;ENFADADO;2018;9;15;14;27
PROYECTOR;ENFADADO;ENFADADO;2009;3;4;11;39
ORDENADOR;ENFADADO;ENFADADO;2006;3;16;22;11
ORDENADOR;NEUTRAL;NEUTRAL;2007;9;10;22;10
TECLADO;CONTENTO;CONTENTO;2012;2;10;1;6
ORDENADOR;SATISFECHO;SATISFECHO;2012;2;15;20;58
MESAS;ENFADADO;ENFADADO;2008;3;28;11;53
SILLAS;ENFADADO;ENFADADO;2009;5;3;13;23
PANTALLAS;CONTENTO;CONTENTO;2018;7;15;20;53
SILLAS;ENFADADO;ENFADADO;2020;4;30;4;58
SILLAS;ENFADADO;ENFADADO;2000;8;14;3;38
AGUA;SATISFECHO;SATISFECHO;2012;5;27;14;47
RATON;ENFADADO;ENFADADO;2007;4;22;18;58
TECLADO;SATISFECHO;SATISFECHO;2025;4;7;4;56
RATON;CONTENTO;CONTENTO;2006;4;27;8;51
AGUA;SATISFECHO;SATISFECHO;2000;7;16;1;24
ORDENADOR;SATISFECHO;SATISFECHO;2020;9;29;11;45
SILLAS;ENFADADO;ENFADADO;1994;1;23;17;33
RATON;SATISFECHO;SATISFECHO;2021;1;23;22;26
TECLADO;ENFADADO;ENFADADO;2024;9;7;15;43
MESAS;ENFADADO;ENFADADO;2011;6;17;10;31
TECLADO;ENFADADO;ENFADADO;2012;1;9;12;10
SILLAS;ENFADADO;ENFADADO;2001;12;20;22;13
PROYECTOR;SATISFECHO;SATISFECHO;2018;11;7;16;3
PANTALLAS;ENFADADO;ENFADADO;1996;10;9;2;6
TECLADO;SATISFECHO;SATISFECHO;1994;10;31;4;34
SILLAS;ENFADADO;ENFADADO;2006;10;10;8;41
SILLAS;SATISFECHO;SATISFECHO;2020;12;15;6;23
TEMPERATURA;ENFADADO;ENFADADO;2013;12;13;13;26
AGUA;SATISFECHO;SATISFECHO;1997;5;10;14;42
TEMPERATURA;NEUTRAL;NEUTRAL;2004;7;22;3;28
TECLADO;SATISFECHO;SATISFECHO;2001;4;7;1;53
SILLAS;NEUTRAL;NEUTRAL;2003;7;12;1;3
ORDENADOR;SATISFECHO;SATISFECHO;2025;4;20;15;19
ORDENADOR;CONTENTO;CONTENTO;1995;10;30;10;33
RATON;NEUTRAL;NEUTRAL;1998;11;30;5;52
LUZ;SATISFECHO;SATISFECHO;2000;8;30;2;33
MESAS;NEUTRAL;NEUTRAL;2000;3;12;10;14
TEMPERATURA;SATISFECHO;SATISFECHO;2024;9;2;5;23
PROYECTOR;CONTENTO;CONTENTO;1999;3;16;17;59
PROYECTOR;CONTENTO;CONTENTO;2002;12;2;8;16
MESAS;SATISFECHO;SATISFECHO;2024;6;22;7;57
TECLADO;ENFADADO;ENFADADO;2016;5;18;4;23
ORDENADOR;ENFADADO;ENFADADO;2004;11;21;13;33
